product_id,name,price,description,specifications,category,brand,image,rating,battery_life,windows_free,weight_kg,ram_gb,ssd_gb,display_size,processor_type
SAM018,Samsung Model 18,50684,"Samsung laptop with Intel Core i5, 8GB, 256GB SSD, 13.3-inch FHD, and up to 8 hours battery life.","Intel Core i5, 8GB, 256GB SSD, 13.3-inch FHD, Windows 11, battery life 8 hrs",Gaming,Samsung,Image of Samsung Model 18 on a desk setup.,4.0,9,Yes,4.49,10,256,14-inch,Intel i3
MSI019,MSI Model 19,34593,"MSI laptop with Intel Core i3, 16GB, 256GB SSD, 16-inch QHD, and up to 12 hours battery life.","Intel Core i3, 16GB, 256GB SSD, 16-inch QHD, Windows 11, battery life 12 hrs",Workstation,MSI,Image of MSI Model 19 on a desk setup.,4.6,8,No,2.08,12,512,15.6-inch,Intel i3
ASU020,Asus Model 20,22268,"Asus laptop with AMD Ryzen 5, 16GB, 1TB SSD, 17-inch FHD, and up to 9 hours battery life.","AMD Ryzen 5, 16GB, 1TB SSD, 17-inch FHD, Windows 11, battery life 9 hrs",Convertible,Asus,Image of Asus Model 20 on a desk setup.,4.4,5,No,4.42,12,256,15.6-inch,Intel i3
HP021,HP Model 21,40115,"HP laptop with Intel Core i3, 16GB, 1TB SSD, 17-inch FHD, and up to 8 hours battery life.","Intel Core i3, 16GB, 1TB SSD, 17-inch FHD, Windows 11, battery life 8 hrs",Gaming,HP,Image of HP Model 21 on a desk setup.,4.3,11,No,2.56,8,512,15.6-inch,Intel i7
MSI022,MSI Model 22,39635,"MSI laptop with AMD Ryzen 5, 16GB, 512GB SSD, 17-inch FHD, and up to 7 hours battery life.","AMD Ryzen 5, 16GB, 512GB SSD, 17-inch FHD, Windows 11, battery life 7 hrs",Convertible,MSI,Image of MSI Model 22 on a desk setup.,4.6,9,Yes,1.31,10,256,14-inch,Intel i3
LEN023,Lenovo Model 23,52554,"Lenovo laptop with Intel Core i5, 32GB, 512GB SSD, 14-inch FHD, and up to 10 hours battery life.","Intel Core i5, 32GB, 512GB SSD, 14-inch FHD, Windows 11, battery life 10 hrs",Convertible,Lenovo,Image of Lenovo Model 23 on a desk setup.,4.9,5,Yes,2.34,4,256,14-inch,Intel i7
ASU024,Asus Model 24,30076,"Asus laptop with AMD Ryzen 7, 16GB, 512GB SSD, 16-inch QHD, and up to 8 hours battery life.","AMD Ryzen 7, 16GB, 512GB SSD, 16-inch QHD, Windows 11, battery life 8 hrs",Student,Asus,Image of Asus Model 24 on a desk setup.,3.7,8,Yes,3.29,12,256,14-inch,Intel i7
LEN025,Lenovo Model 25,82201,"Lenovo laptop with Intel Core i7, 32GB, 256GB SSD, 15.6-inch FHD, and up to 11 hours battery life.","Intel Core i7, 32GB, 256GB SSD, 15.6-inch FHD, Windows 11, battery life 11 hrs",Business,Lenovo,Image of Lenovo Model 25 on a desk setup.,4.2,4,Yes,3.45,12,256,15.6-inch,Intel i5
ACE026,Acer Model 26,17549,"Acer laptop with AMD Ryzen 7, 32GB, 1TB SSD, 17-inch FHD, and up to 12 hours battery life.","AMD Ryzen 7, 32GB, 1TB SSD, 17-inch FHD, Windows 11, battery life 12 hrs",Workstation,Acer,Image of Acer Model 26 on a desk setup.,4.1,13,Yes,2.95,4,256,15.6-inch,Intel i7
APP027,Apple Model 27,51319,"Apple laptop with Intel Core i5, 16GB, 256GB SSD, 17-inch FHD, and up to 11 hours battery life.","Intel Core i5, 16GB, 256GB SSD, 17-inch FHD, Windows 11, battery life 11 hrs",Business,Apple,Image of Apple Model 27 on a desk setup.,4.7,18,No,2.68,8,256,13.3-inch,Apple M1
MSI028,MSI Model 28,30797,"MSI laptop with AMD Ryzen 5, 16GB, 1TB SSD, 17-inch FHD, and up to 8 hours battery life.","AMD Ryzen 5, 16GB, 1TB SSD, 17-inch FHD, Windows 11, battery life 8 hrs",Ultrabook,MSI,Image of MSI Model 28 on a desk setup.,4.1,12,No,3.02,8,128,15.6-inch,Intel i3
MIC029,Microsoft Model 29,80700,"Microsoft laptop with AMD Ryzen 5, 16GB, 256GB SSD, 13.3-inch FHD, and up to 7 hours battery life.","AMD Ryzen 5, 16GB, 256GB SSD, 13.3-inch FHD, Windows 11, battery life 7 hrs",Business,Microsoft,Image of Microsoft Model 29 on a desk setup.,4.0,4,Yes,3.16,10,512,14-inch,Intel i7
LEN030,Lenovo Model 30,84935,"Lenovo laptop with AMD Ryzen 5, 8GB, 256GB SSD, 15.6-inch FHD, and up to 6 hours battery life.","AMD Ryzen 5, 8GB, 256GB SSD, 15.6-inch FHD, Windows 11, battery life 6 hrs",Business,Lenovo,Image of Lenovo Model 30 on a desk setup.,4.6,14,Yes,1.47,4,256,14-inch,Intel i3
DEL031,Dell Model 31,41147,"Dell laptop with Intel Core i3, 32GB, 512GB SSD, 15.6-inch FHD, and up to 12 hours battery life.","Intel Core i3, 32GB, 512GB SSD, 15.6-inch FHD, Windows 11, battery life 12 hrs",Business,Dell,Image of Dell Model 31 on a desk setup.,3.8,14,Yes,2.42,10,128,14-inch,Intel i7
ASU032,Asus Model 32,24658,"Asus laptop with AMD Ryzen 7, 16GB, 512GB SSD, 13.3-inch FHD, and up to 12 hours battery life.","AMD Ryzen 7, 16GB, 512GB SSD, 13.3-inch FHD, Windows 11, battery life 12 hrs",Workstation,Asus,Image of Asus Model 32 on a desk setup.,3.7,13,No,2.0,12,128,15.6-inch,Intel i5
MSI033,MSI Model 33,28512,"MSI laptop with AMD Ryzen 7, 16GB, 512GB SSD, 14-inch FHD, and up to 6 hours battery life.","AMD Ryzen 7, 16GB, 512GB SSD, 14-inch FHD, Windows 11, battery life 6 hrs",Convertible,MSI,Image of MSI Model 33 on a desk setup.,5.0,6,Yes,3.85,12,512,15.6-inch,Intel i7
MSI034,MSI Model 34,34430,"MSI laptop with AMD Ryzen 5, 8GB, 512GB SSD, 15.6-inch FHD, and up to 8 hours battery life.","AMD Ryzen 5, 8GB, 512GB SSD, 15.6-inch FHD, Windows 11, battery life 8 hrs",Gaming,MSI,Image of MSI Model 34 on a desk setup.,4.6,10,Yes,2.75,4,512,14-inch,Intel i3
DEL035,Dell Model 35,29421,"Dell laptop with AMD Ryzen 7, 8GB, 256GB SSD, 16-inch QHD, and up to 11 hours battery life.","AMD Ryzen 7, 8GB, 256GB SSD, 16-inch QHD, Windows 11, battery life 11 hrs",Business,Dell,Image of Dell Model 35 on a desk setup.,3.5,7,No,4.45,8,512,15.6-inch,Intel i5
MIC036,Microsoft Model 36,51324,"Microsoft laptop with Intel Core i5, 32GB, 1TB SSD, 17-inch FHD, and up to 9 hours battery life.","Intel Core i5, 32GB, 1TB SSD, 17-inch FHD, Windows 11, battery life 9 hrs",Ultrabook,Microsoft,Image of Microsoft Model 36 on a desk setup.,4.3,12,Yes,2.52,6,512,15.6-inch,Intel i3
LEN037,Lenovo Model 37,97067,"Lenovo laptop with Intel Core i3, 8GB, 1TB SSD, 13.3-inch FHD, and up to 11 hours battery life.","Intel Core i3, 8GB, 1TB SSD, 13.3-inch FHD, Windows 11, battery life 11 hrs",Workstation,Lenovo,Image of Lenovo Model 37 on a desk setup.,3.6,6,Yes,3.89,4,512,14-inch,Intel i7
DEL038,Dell Model 38,28116,"Dell laptop with AMD Ryzen 7, 16GB, 512GB SSD, 14-inch FHD, and up to 9 hours battery life.","AMD Ryzen 7, 16GB, 512GB SSD, 14-inch FHD, Windows 11, battery life 9 hrs",Convertible,Dell,Image of Dell Model 38 on a desk setup.,4.2,8,Yes,3.83,6,128,15.6-inch,Intel i3
LG039,LG Model 39,86544,"LG laptop with Intel Core i7, 32GB, 256GB SSD, 16-inch QHD, and up to 10 hours battery life.","Intel Core i7, 32GB, 256GB SSD, 16-inch QHD, Windows 11, battery life 10 hrs",Workstation,LG,Image of LG Model 39 on a desk setup.,4.3,6,Yes,1.7,6,256,15.6-inch,Intel i7
HP040,HP Model 40,19437,"HP laptop with Intel Core i7, 8GB, 512GB SSD, 17-inch FHD, and up to 10 hours battery life.","Intel Core i7, 8GB, 512GB SSD, 17-inch FHD, Windows 11, battery life 10 hrs",Workstation,HP,Image of HP Model 40 on a desk setup.,5.0,10,Yes,2.88,8,256,15.6-inch,Intel i3
LG041,LG Model 41,98259,"LG laptop with Intel Core i7, 16GB, 512GB SSD, 15.6-inch FHD, and up to 10 hours battery life.","Intel Core i7, 16GB, 512GB SSD, 15.6-inch FHD, Windows 11, battery life 10 hrs",Ultrabook,LG,Image of LG Model 41 on a desk setup.,4.0,8,No,3.5,6,128,14-inch,Intel i7
LEN042,Lenovo Model 42,85409,"Lenovo laptop with Intel Core i5, 8GB, 1TB SSD, 13.3-inch FHD, and up to 6 hours battery life.","Intel Core i5, 8GB, 1TB SSD, 13.3-inch FHD, Windows 11, battery life 6 hrs",Convertible,Lenovo,Image of Lenovo Model 42 on a desk setup.,4.7,12,No,4.03,6,128,14-inch,Intel i5
SAM043,Samsung Model 43,47351,"Samsung laptop with Intel Core i3, 32GB, 512GB SSD, 16-inch QHD, and up to 9 hours battery life.","Intel Core i3, 32GB, 512GB SSD, 16-inch QHD, Windows 11, battery life 9 hrs",Ultrabook,Samsung,Image of Samsung Model 43 on a desk setup.,4.4,10,No,2.28,8,256,14-inch,Intel i5
MIC044,Microsoft Model 44,77244,"Microsoft laptop with Intel Core i5, 8GB, 512GB SSD, 17-inch FHD, and up to 11 hours battery life.","Intel Core i5, 8GB, 512GB SSD, 17-inch FHD, Windows 11, battery life 11 hrs",Student,Microsoft,Image of Microsoft Model 44 on a desk setup.,3.8,5,Yes,1.93,6,128,14-inch,Intel i3
SAM045,Samsung Model 45,99807,"Samsung laptop with AMD Ryzen 7, 16GB, 1TB SSD, 16-inch QHD, and up to 10 hours battery life.","AMD Ryzen 7, 16GB, 1TB SSD, 16-inch QHD, Windows 11, battery life 10 hrs",Gaming,Samsung,Image of Samsung Model 45 on a desk setup.,3.7,7,Yes,3.55,6,512,14-inch,Intel i7
ASU046,Asus Model 46,42472,"Asus laptop with AMD Ryzen 5, 8GB, 512GB SSD, 15.6-inch FHD, and up to 8 hours battery life.","AMD Ryzen 5, 8GB, 512GB SSD, 15.6-inch FHD, Windows 11, battery life 8 hrs",Workstation,Asus,Image of Asus Model 46 on a desk setup.,4.2,12,Yes,3.87,6,256,15.6-inch,Intel i7
DEL047,Dell Model 47,33339,"Dell laptop with AMD Ryzen 5, 32GB, 1TB SSD, 14-inch FHD, and up to 7 hours battery life.","AMD Ryzen 5, 32GB, 1TB SSD, 14-inch FHD, Windows 11, battery life 7 hrs",Convertible,Dell,Image of Dell Model 47 on a desk setup.,3.9,5,No,2.35,4,512,15.6-inch,Intel i7
LEN048,Lenovo Model 48,17269,"Lenovo laptop with Intel Core i3, 16GB, 512GB SSD, 17-inch FHD, and up to 8 hours battery life.","Intel Core i3, 16GB, 512GB SSD, 17-inch FHD, Windows 11, battery life 8 hrs",Ultrabook,Lenovo,Image of Lenovo Model 48 on a desk setup.,4.2,13,Yes,1.52,4,512,14-inch,Intel i7
LEN049,Lenovo Model 49,20755,"Lenovo laptop with Intel Core i3, 32GB, 1TB SSD, 17-inch FHD, and up to 6 hours battery life.","Intel Core i3, 32GB, 1TB SSD, 17-inch FHD, Windows 11, battery life 6 hrs",Convertible,Lenovo,Image of Lenovo Model 49 on a desk setup.,3.6,12,Yes,4.3,4,128,14-inch,Intel i7
HP050,HP Model 50,29479,"HP laptop with AMD Ryzen 5, 8GB, 512GB SSD, 16-inch QHD, and up to 12 hours battery life.","AMD Ryzen 5, 8GB, 512GB SSD, 16-inch QHD, Windows 11, battery life 12 hrs",Convertible,HP,Image of HP Model 50 on a desk setup.,3.7,13,No,2.51,8,128,15.6-inch,Intel i7
MIC051,Microsoft Model 51,46147,"Microsoft laptop with Intel Core i5, 8GB, 512GB SSD, 15.6-inch FHD, and up to 11 hours battery life.","Intel Core i5, 8GB, 512GB SSD, 15.6-inch FHD, Windows 11, battery life 11 hrs",Business,Microsoft,Image of Microsoft Model 51 on a desk setup.,3.5,8,Yes,2.91,12,256,14-inch,Intel i5
LG052,LG Model 52,96410,"LG laptop with AMD Ryzen 7, 16GB, 256GB SSD, 15.6-inch FHD, and up to 6 hours battery life.","AMD Ryzen 7, 16GB, 256GB SSD, 15.6-inch FHD, Windows 11, battery life 6 hrs",Convertible,LG,Image of LG Model 52 on a desk setup.,4.2,5,No,3.96,6,128,15.6-inch,Intel i3
HP053,HP Model 53,28199,"HP laptop with AMD Ryzen 5, 16GB, 1TB SSD, 16-inch QHD, and up to 9 hours battery life.","AMD Ryzen 5, 16GB, 1TB SSD, 16-inch QHD, Windows 11, battery life 9 hrs",Student,HP,Image of HP Model 53 on a desk setup.,3.8,7,No,3.43,6,128,14-inch,Intel i3
LEN054,Lenovo Model 54,34414,"Lenovo laptop with Intel Core i3, 16GB, 512GB SSD, 14-inch FHD, and up to 7 hours battery life.","Intel Core i3, 16GB, 512GB SSD, 14-inch FHD, Windows 11, battery life 7 hrs",Business,Lenovo,Image of Lenovo Model 54 on a desk setup.,4.7,10,No,3.63,8,128,15.6-inch,Intel i3
LEN055,Lenovo Model 55,89339,"Lenovo laptop with Intel Core i7, 16GB, 256GB SSD, 16-inch QHD, and up to 9 hours battery life.","Intel Core i7, 16GB, 256GB SSD, 16-inch QHD, Windows 11, battery life 9 hrs",Gaming,Lenovo,Image of Lenovo Model 55 on a desk setup.,4.1,11,Yes,1.89,6,256,15.6-inch,Intel i3
MIC056,Microsoft Model 56,91360,"Microsoft laptop with Intel Core i5, 16GB, 1TB SSD, 17-inch FHD, and up to 12 hours battery life.","Intel Core i5, 16GB, 1TB SSD, 17-inch FHD, Windows 11, battery life 12 hrs",Workstation,Microsoft,Image of Microsoft Model 56 on a desk setup.,4.3,6,Yes,2.99,4,512,15.6-inch,Intel i5
APP057,Apple Model 57,45127,"Apple laptop with AMD Ryzen 5, 32GB, 512GB SSD, 15.6-inch FHD, and up to 7 hours battery life.","AMD Ryzen 5, 32GB, 512GB SSD, 15.6-inch FHD, Windows 11, battery life 7 hrs",Workstation,Apple,Image of Apple Model 57 on a desk setup.,4.5,18,No,3.5,8,256,13.3-inch,Apple M1
MIC058,Microsoft Model 58,80778,"Microsoft laptop with AMD Ryzen 7, 8GB, 256GB SSD, 17-inch FHD, and up to 12 hours battery life.","AMD Ryzen 7, 8GB, 256GB SSD, 17-inch FHD, Windows 11, battery life 12 hrs",Gaming,Microsoft,Image of Microsoft Model 58 on a desk setup.,5.0,7,Yes,1.95,10,256,15.6-inch,Intel i3
APP059,Apple Model 59,30854,"Apple laptop with AMD Ryzen 5, 8GB, 1TB SSD, 13.3-inch FHD, and up to 11 hours battery life.","AMD Ryzen 5, 8GB, 1TB SSD, 13.3-inch FHD, Windows 11, battery life 11 hrs",Convertible,Apple,Image of Apple Model 59 on a desk setup.,4.7,18,No,1.78,8,256,13.3-inch,Apple M1
DEL060,Dell Model 60,30826,"Dell laptop with Intel Core i5, 8GB, 512GB SSD, 16-inch QHD, and up to 8 hours battery life.","Intel Core i5, 8GB, 512GB SSD, 16-inch QHD, Windows 11, battery life 8 hrs",Gaming,Dell,Image of Dell Model 60 on a desk setup.,4.6,11,Yes,4.44,4,128,14-inch,Intel i3
HP061,HP Model 61,42364,"HP laptop with Intel Core i3, 8GB, 512GB SSD, 16-inch QHD, and up to 12 hours battery life.","Intel Core i3, 8GB, 512GB SSD, 16-inch QHD, Windows 11, battery life 12 hrs",Convertible,HP,Image of HP Model 61 on a desk setup.,3.7,7,Yes,2.9,10,256,15.6-inch,Intel i7
LG062,LG Model 62,78357,"LG laptop with AMD Ryzen 7, 32GB, 512GB SSD, 15.6-inch FHD, and up to 12 hours battery life.","AMD Ryzen 7, 32GB, 512GB SSD, 15.6-inch FHD, Windows 11, battery life 12 hrs",Business,LG,Image of LG Model 62 on a desk setup.,3.5,5,No,2.06,12,512,15.6-inch,Intel i7
ASU063,Asus Model 63,29911,"Asus laptop with Intel Core i5, 32GB, 1TB SSD, 15.6-inch FHD, and up to 11 hours battery life.","Intel Core i5, 32GB, 1TB SSD, 15.6-inch FHD, Windows 11, battery life 11 hrs",Workstation,Asus,Image of Asus Model 63 on a desk setup.,4.7,9,Yes,4.49,10,128,15.6-inch,Intel i3
LG064,LG Model 64,75748,"LG laptop with AMD Ryzen 5, 16GB, 512GB SSD, 14-inch FHD, and up to 7 hours battery life.","AMD Ryzen 5, 16GB, 512GB SSD, 14-inch FHD, Windows 11, battery life 7 hrs",Student,LG,Image of LG Model 64 on a desk setup.,4.7,9,No,4.39,4,512,14-inch,Intel i3
HP065,HP Model 65,18304,"HP laptop with AMD Ryzen 7, 32GB, 256GB SSD, 16-inch QHD, and up to 6 hours battery life.","AMD Ryzen 7, 32GB, 256GB SSD, 16-inch QHD, Windows 11, battery life 6 hrs",Gaming,HP,Image of HP Model 65 on a desk setup.,5.0,13,Yes,3.04,10,512,15.6-inch,Intel i5
MIC066,Microsoft Model 66,89340,"Microsoft laptop with Intel Core i3, 16GB, 512GB SSD, 15.6-inch FHD, and up to 12 hours battery life.","Intel Core i3, 16GB, 512GB SSD, 15.6-inch FHD, Windows 11, battery life 12 hrs",Workstation,Microsoft,Image of Microsoft Model 66 on a desk setup.,3.6,7,Yes,4.11,8,256,15.6-inch,Intel i7
DEL067,Dell Model 67,35631,"Dell laptop with Intel Core i5, 16GB, 256GB SSD, 14-inch FHD, and up to 7 hours battery life.","Intel Core i5, 16GB, 256GB SSD, 14-inch FHD, Windows 11, battery life 7 hrs",Student,Dell,Image of Dell Model 67 on a desk setup.,4.4,9,Yes,1.82,10,128,14-inch,Intel i7
HP068,HP Model 68,18036,"HP laptop with Intel Core i3, 8GB, 256GB SSD, 17-inch FHD, and up to 10 hours battery life.","Intel Core i3, 8GB, 256GB SSD, 17-inch FHD, Windows 11, battery life 10 hrs",Gaming,HP,Image of HP Model 68 on a desk setup.,4.7,5,No,2.12,6,512,14-inch,Intel i7
DEL069,Dell Model 69,23331,"Dell laptop with Intel Core i7, 8GB, 512GB SSD, 17-inch FHD, and up to 9 hours battery life.","Intel Core i7, 8GB, 512GB SSD, 17-inch FHD, Windows 11, battery life 9 hrs",Convertible,Dell,Image of Dell Model 69 on a desk setup.,4.4,13,No,3.51,6,256,14-inch,Intel i5
HP070,HP Model 70,42427,"HP laptop with Intel Core i5, 32GB, 512GB SSD, 14-inch FHD, and up to 12 hours battery life.","Intel Core i5, 32GB, 512GB SSD, 14-inch FHD, Windows 11, battery life 12 hrs",Convertible,HP,Image of HP Model 70 on a desk setup.,3.8,5,No,3.99,8,512,15.6-inch,Intel i5
ASU071,Asus Model 71,43336,"Asus laptop with AMD Ryzen 7, 32GB, 1TB SSD, 17-inch FHD, and up to 6 hours battery life.","AMD Ryzen 7, 32GB, 1TB SSD, 17-inch FHD, Windows 11, battery life 6 hrs",Ultrabook,Asus,Image of Asus Model 71 on a desk setup.,4.6,13,No,4.03,4,128,15.6-inch,Intel i7
HP072,HP Model 72,19208,"HP laptop with Intel Core i3, 16GB, 256GB SSD, 14-inch FHD, and up to 9 hours battery life.","Intel Core i3, 16GB, 256GB SSD, 14-inch FHD, Windows 11, battery life 9 hrs",Workstation,HP,Image of HP Model 72 on a desk setup.,4.7,7,Yes,2.53,6,256,14-inch,Intel i3
SAM073,Samsung Model 73,71520,"Samsung laptop with AMD Ryzen 5, 32GB, 512GB SSD, 17-inch FHD, and up to 8 hours battery life.","AMD Ryzen 5, 32GB, 512GB SSD, 17-inch FHD, Windows 11, battery life 8 hrs",Business,Samsung,Image of Samsung Model 73 on a desk setup.,4.3,11,No,4.13,12,512,14-inch,Intel i7
MIC074,Microsoft Model 74,54464,"Microsoft laptop with Intel Core i5, 8GB, 1TB SSD, 14-inch FHD, and up to 12 hours battery life.","Intel Core i5, 8GB, 1TB SSD, 14-inch FHD, Windows 11, battery life 12 hrs",Business,Microsoft,Image of Microsoft Model 74 on a desk setup.,4.6,10,Yes,4.01,6,512,15.6-inch,Intel i7
MSI075,MSI Model 75,19678,"MSI laptop with AMD Ryzen 7, 16GB, 256GB SSD, 13.3-inch FHD, and up to 11 hours battery life.","AMD Ryzen 7, 16GB, 256GB SSD, 13.3-inch FHD, Windows 11, battery life 11 hrs",Gaming,MSI,Image of MSI Model 75 on a desk setup.,5.0,12,Yes,4.29,6,128,15.6-inch,Intel i7
DEL076,Dell Model 76,24669,"Dell laptop with Intel Core i5, 8GB, 256GB SSD, 17-inch FHD, and up to 6 hours battery life.","Intel Core i5, 8GB, 256GB SSD, 17-inch FHD, Windows 11, battery life 6 hrs",Ultrabook,Dell,Image of Dell Model 76 on a desk setup.,3.6,11,No,3.79,4,512,14-inch,Intel i5
SAM077,Samsung Model 77,33937,"Samsung laptop with Intel Core i5, 16GB, 1TB SSD, 16-inch QHD, and up to 12 hours battery life.","Intel Core i5, 16GB, 1TB SSD, 16-inch QHD, Windows 11, battery life 12 hrs",Student,Samsung,Image of Samsung Model 77 on a desk setup.,4.6,8,No,3.41,10,512,14-inch,Intel i3
ASU078,Asus Model 78,38119,"Asus laptop with Intel Core i5, 16GB, 1TB SSD, 15.6-inch FHD, and up to 11 hours battery life.","Intel Core i5, 16GB, 1TB SSD, 15.6-inch FHD, Windows 11, battery life 11 hrs",Ultrabook,Asus,Image of Asus Model 78 on a desk setup.,4.6,5,No,3.12,6,256,15.6-inch,Intel i7
